dates,freq
2022-08-01,238
2022-08-02,201
2022-08-03,18711
2022-08-04,71395
2022-08-05,68968
2022-08-06,46267
2022-08-07,46277
2022-08-08,74996
2022-08-09,84874
2022-08-10,129029
2022-08-11,89292
2022-08-12,77389
2022-08-13,54225
2022-08-14,51445
2022-08-15,75698
2022-08-16,74822
2022-08-17,76837
2022-08-18,77496
2022-08-19,75482
2022-08-20,50853
2022-08-21,49108
2022-08-22,77360
2022-08-23,82260
2022-08-24,80558
2022-08-25,33310
2022-08-26,74081
2022-08-27,52715
2022-08-28,49567
2022-08-29,75588
2022-08-30,76737
2022-08-31,102402
2022-09-01,85296
2022-09-02,77918
2022-09-03,55034
2022-09-04,54295
2022-09-05,80588
2022-09-06,85527
2022-09-07,83459
2022-09-08,84295
2022-09-09,76436
2022-09-10,84021
2022-09-11,57382
2022-09-12,70328
2022-09-13,80504
2022-09-14,81581
2022-09-15,79112
2022-09-16,78549
2022-09-17,22343
2022-09-18,54851
2022-09-19,77308
2022-09-20,83757
2022-09-21,82158
2022-09-22,81221
2022-09-23,77638
2022-09-24,57856
2022-09-25,54768
2022-09-26,87198
2022-09-27,82982
2022-09-28,111852
2022-09-29,81199
2022-09-30,19312
2022-10-01,676
2022-10-02,610
2022-10-03,700
2022-10-04,634
2022-10-05,628
2022-10-06,787
2022-10-07,697
2022-10-08,657
2022-10-09,571
2022-10-10,827
2022-10-11,31743
2022-10-12,127567
2022-10-13,128838
2022-10-14,116926
2022-10-15,87082
2022-10-16,86441
2022-10-17,121833
2022-10-18,111511
2022-10-19,121784
2022-10-20,124431
2022-10-21,113776
2022-10-22,78889
2022-10-23,9132
2022-10-24,843
2022-10-25,31153
2022-10-26,114551
2022-10-27,113426
2022-10-28,104726
2022-10-29,75253
2022-10-30,92281
2022-10-31,108078
2022-11-01,94329
2022-11-02,11113
2022-11-03,20277
2022-11-04,82970
2022-11-05,22376
2022-11-06,55265
2022-11-07,90222
2022-11-08,87854
2022-11-09,78537
2022-11-10,130689
2022-11-11,105183
2022-11-12,59214
2022-11-13,59284
2022-11-14,97301
2022-11-15,90007
2022-11-16,87300
2022-11-17,89450
2022-11-18,85735
2022-11-19,53485
2022-11-20,57176
2022-11-21,105918
2022-11-22,88050
2022-11-23,91425
2022-11-24,82989
2022-11-25,35307
2022-11-26,53747
2022-11-27,60922
2022-11-28,88375
2022-11-29,77795
2022-11-30,93014
2022-12-01,88251
2022-12-02,80066
2022-12-03,54345
2022-12-04,54302
2022-12-05,89348
2022-12-06,88916
2022-12-07,97503
2022-12-08,97461
2022-12-09,108525
2022-12-10,103277
2022-12-11,71792
2022-12-12,97986
2022-12-13,90852
2022-12-14,92803
2022-12-15,80793
2022-12-16,81722
2022-12-17,59134
2022-12-18,61421
2022-12-19,86478
2022-12-20,87834
2022-12-21,91445
2022-12-22,89324
2022-12-23,33427
2022-12-24,58284
2022-12-25,58469
2022-12-26,84500
2022-12-27,85644
2022-12-28,94351
2022-12-29,85030
2022-12-30,79566
2022-12-31,158203
2023-01-01,75088
2023-01-02,69594
2023-01-03,89733
2023-01-04,89813
2023-01-05,94302
2023-01-06,130401
2023-01-07,58057
2023-01-08,58615
2023-01-09,96049
2023-01-10,156764
2023-01-11,169687
2023-01-12,163954
2023-01-13,158349
2023-01-14,128540
2023-01-15,50111
2023-01-16,155338
2023-01-17,153003
2023-01-18,145106
2023-01-19,86652
2023-01-20,66547
2023-01-21,49021
2023-01-22,55897
2023-01-23,70269
2023-01-24,10811
2023-01-25,7064
2023-01-26,22270
2023-01-27,58704
2023-01-28,84329
2023-01-29,99991
2023-01-30,123510
2023-01-31,120057
2023-02-01,157391
2023-02-02,126196
2023-02-03,122302
2023-02-04,102375
2023-02-05,93558
2023-02-06,122818
2023-02-07,125091
2023-02-08,106521
2023-02-09,66597
2023-02-10,60857
2023-02-11,68923
2023-02-12,48330
2023-02-13,28465
2023-02-14,28386
2023-02-15,28872
2023-02-16,10537
2023-02-17,426
