dates,freq
2022-08-01,143
2022-08-02,62
2022-08-03,1245
2022-08-04,7343
2022-08-05,7872
2022-08-06,5032
2022-08-07,5154
2022-08-08,7762
2022-08-09,8860
2022-08-10,8730
2022-08-11,8367
2022-08-12,7933
2022-08-13,4854
2022-08-14,5035
2022-08-15,7400
2022-08-16,7267
2022-08-17,8229
2022-08-18,9102
2022-08-19,8565
2022-08-20,6086
2022-08-21,5317
2022-08-22,6928
2022-08-23,7788
2022-08-24,8005
2022-08-25,2555
2022-08-26,7581
2022-08-27,4608
2022-08-28,4326
2022-08-29,6168
2022-08-30,7021
2022-08-31,7156
2022-09-01,9139
2022-09-02,7461
2022-09-03,4273
2022-09-04,4047
2022-09-05,6461
2022-09-06,6162
2022-09-07,6323
2022-09-08,7080
2022-09-09,6634
2022-09-10,4022
2022-09-11,3757
2022-09-12,4331
2022-09-13,7000
2022-09-14,8993
2022-09-15,8783
2022-09-16,8287
2022-09-17,1735
2022-09-18,5008
2022-09-19,7560
2022-09-20,8291
2022-09-21,6550
2022-09-22,7502
2022-09-23,7178
2022-09-24,4674
2022-09-25,5024
2022-09-26,8038
2022-09-27,7897
2022-09-28,7505
2022-09-29,8111
2022-09-30,2048
2022-10-01,289
2022-10-02,181
2022-10-03,299
2022-10-04,157
2022-10-05,176
2022-10-06,182
2022-10-07,158
2022-10-08,90
2022-10-09,17
2022-10-10,132
2022-10-11,1396
2022-10-12,7942
2022-10-13,7786
2022-10-14,7814
2022-10-15,5807
2022-10-16,5155
2022-10-17,7549
2022-10-18,8563
2022-10-19,8327
2022-10-20,8224
2022-10-21,8009
2022-10-22,5222
2022-10-23,855
2022-10-24,175
2022-10-25,1464
2022-10-26,8629
2022-10-27,8935
2022-10-28,7631
2022-10-29,4891
2022-10-30,5144
2022-10-31,7776
2022-11-01,8653
2022-11-02,1453
2022-11-03,1496
2022-11-04,8452
2022-11-05,1831
2022-11-06,5028
2022-11-07,7530
2022-11-08,8179
2022-11-09,7774
2022-11-10,9127
2022-11-11,9371
2022-11-12,5678
2022-11-13,5067
2022-11-14,8047
2022-11-15,7677
2022-11-16,8059
2022-11-17,8045
2022-11-18,9118
2022-11-19,4279
2022-11-20,4530
2022-11-21,8208
2022-11-22,8119
2022-11-23,8021
2022-11-24,10173
2022-11-25,4672
2022-11-26,5923
2022-11-27,5182
2022-11-28,6806
2022-11-29,7851
2022-11-30,8799
2022-12-01,9979
2022-12-02,8642
2022-12-03,5564
2022-12-04,4848
2022-12-05,8245
2022-12-06,7400
2022-12-07,7826
2022-12-08,9199
2022-12-09,8866
2022-12-10,4962
2022-12-11,5170
2022-12-12,7892
2022-12-13,7818
2022-12-14,7966
2022-12-15,7802
2022-12-16,6768
2022-12-17,4605
2022-12-18,4172
2022-12-19,6760
2022-12-20,6102
2022-12-21,6696
2022-12-22,6873
2022-12-23,3055
2022-12-24,3338
2022-12-25,2545
2022-12-26,3282
2022-12-27,4126
2022-12-28,6075
2022-12-29,5687
2022-12-30,5214
2022-12-31,5942
2023-01-01,5144
2023-01-02,3939
2023-01-03,6310
2023-01-04,5898
2023-01-05,6124
2023-01-06,6695
2023-01-07,4699
2023-01-08,3711
2023-01-09,6816
2023-01-10,6734
2023-01-11,7370
2023-01-12,8068
2023-01-13,7884
2023-01-14,4754
2023-01-15,1820
2023-01-16,7049
2023-01-17,7634
2023-01-18,7487
2023-01-19,6702
2023-01-20,5920
2023-01-21,3127
2023-01-22,2712
2023-01-23,2288
2023-01-24,926
2023-01-25,930
2023-01-26,2239
2023-01-27,8331
2023-01-28,53221
2023-01-29,54648
2023-01-30,54533
2023-01-31,58385
2023-02-01,60073
2023-02-02,59955
2023-02-03,67911
2023-02-04,55831
2023-02-05,54316
2023-02-06,58017
2023-02-07,61264
2023-02-08,59237
2023-02-09,56308
2023-02-10,52917
2023-02-11,58829
2023-02-12,57889
2023-02-13,24124
2023-02-14,25372
2023-02-15,29815
2023-02-16,5806
2023-02-17,34
