dates,freq
2022-08-01,78
2022-08-02,90
2022-08-03,6715
2022-08-04,29178
2022-08-05,26215
2022-08-06,19572
2022-08-07,20607
2022-08-08,28112
2022-08-09,31461
2022-08-10,32659
2022-08-11,30600
2022-08-12,31305
2022-08-13,23824
2022-08-14,24713
2022-08-15,29487
2022-08-16,32215
2022-08-17,30707
2022-08-18,33197
2022-08-19,35107
2022-08-20,25884
2022-08-21,24606
2022-08-22,31881
2022-08-23,35145
2022-08-24,36044
2022-08-25,14777
2022-08-26,30114
2022-08-27,24158
2022-08-28,24232
2022-08-29,35476
2022-08-30,31871
2022-08-31,32572
2022-09-01,34903
2022-09-02,32076
2022-09-03,24930
2022-09-04,22412
2022-09-05,26709
2022-09-06,32977
2022-09-07,31344
2022-09-08,30629
2022-09-09,26670
2022-09-10,24239
2022-09-11,20829
2022-09-12,27324
2022-09-13,32100
2022-09-14,34884
2022-09-15,30798
2022-09-16,29653
2022-09-17,9579
2022-09-18,23330
2022-09-19,30225
2022-09-20,35711
2022-09-21,31028
2022-09-22,30186
2022-09-23,29661
2022-09-24,20312
2022-09-25,22305
2022-09-26,30685
2022-09-27,32131
2022-09-28,31966
2022-09-29,28860
2022-09-30,6709
2022-10-01,182
2022-10-02,157
2022-10-03,181
2022-10-04,146
2022-10-05,139
2022-10-06,195
2022-10-07,174
2022-10-08,159
2022-10-09,175
2022-10-10,182
2022-10-11,7058
2022-10-12,31102
2022-10-13,31761
2022-10-14,29588
2022-10-15,21846
2022-10-16,19227
2022-10-17,26713
2022-10-18,31758
2022-10-19,30949
2022-10-20,31069
2022-10-21,32311
2022-10-22,22819
2022-10-23,4432
2022-10-24,196
2022-10-25,6710
2022-10-26,32498
2022-10-27,32121
2022-10-28,31202
2022-10-29,21525
2022-10-30,21117
2022-10-31,29586
2022-11-01,30980
2022-11-02,5907
2022-11-03,5947
2022-11-04,29544
2022-11-05,9453
2022-11-06,21006
2022-11-07,31741
2022-11-08,33276
2022-11-09,25012
2022-11-10,30202
2022-11-11,34056
2022-11-12,24735
2022-11-13,23720
2022-11-14,37016
2022-11-15,33479
2022-11-16,33270
2022-11-17,32130
2022-11-18,35050
2022-11-19,24517
2022-11-20,24965
2022-11-21,37304
2022-11-22,37718
2022-11-23,33734
2022-11-24,27528
2022-11-25,12134
2022-11-26,20673
2022-11-27,21345
2022-11-28,34759
2022-11-29,27594
2022-11-30,39252
2022-12-01,38465
2022-12-02,38035
2022-12-03,25332
2022-12-04,23293
2022-12-05,35380
2022-12-06,38992
2022-12-07,39010
2022-12-08,42998
2022-12-09,38379
2022-12-10,27800
2022-12-11,25423
2022-12-12,36793
2022-12-13,36136
2022-12-14,41271
2022-12-15,36110
2022-12-16,34656
2022-12-17,29091
2022-12-18,26162
2022-12-19,39005
2022-12-20,33854
2022-12-21,37840
2022-12-22,32444
2022-12-23,13097
2022-12-24,25563
2022-12-25,27206
2022-12-26,30395
2022-12-27,33224
2022-12-28,34886
2022-12-29,29812
2022-12-30,28500
2022-12-31,71893
2023-01-01,33274
2023-01-02,26216
2023-01-03,37478
2023-01-04,37610
2023-01-05,36301
2023-01-06,35590
2023-01-07,26177
2023-01-08,24290
2023-01-09,38536
2023-01-10,39101
2023-01-11,43460
2023-01-12,43544
2023-01-13,41701
2023-01-14,36347
2023-01-15,11852
2023-01-16,39430
2023-01-17,48540
2023-01-18,47630
2023-01-19,40189
2023-01-20,38390
2023-01-21,27457
2023-01-22,27345
2023-01-23,32698
2023-01-24,12270
2023-01-25,7183
2023-01-26,14266
2023-01-27,67006
2023-01-28,264002
2023-01-29,270498
2023-01-30,262133
2023-01-31,263391
2023-02-01,289309
2023-02-02,266508
2023-02-03,263030
2023-02-04,266042
2023-02-05,264560
2023-02-06,257596
2023-02-07,290848
2023-02-08,265879
2023-02-09,245772
2023-02-10,229131
2023-02-11,251540
2023-02-12,266478
2023-02-13,114442
2023-02-14,121660
2023-02-15,117846
2023-02-16,17120
2023-02-17,522
