dates,freq
2022-08-01,35
2022-08-02,31
2022-08-03,2748
2022-08-04,12330
2022-08-05,14282
2022-08-06,6745
2022-08-07,8082
2022-08-08,12462
2022-08-09,13640
2022-08-10,15878
2022-08-11,14868
2022-08-12,14129
2022-08-13,10951
2022-08-14,10621
2022-08-15,13126
2022-08-16,12293
2022-08-17,11561
2022-08-18,12929
2022-08-19,13066
2022-08-20,10393
2022-08-21,9522
2022-08-22,11991
2022-08-23,13950
2022-08-24,13281
2022-08-25,4199
2022-08-26,11806
2022-08-27,8701
2022-08-28,8696
2022-08-29,11252
2022-08-30,13324
2022-08-31,11252
2022-09-01,12117
2022-09-02,12010
2022-09-03,9153
2022-09-04,8504
2022-09-05,11743
2022-09-06,11447
2022-09-07,11804
2022-09-08,13190
2022-09-09,10168
2022-09-10,8604
2022-09-11,7627
2022-09-12,9369
2022-09-13,11194
2022-09-14,11911
2022-09-15,12057
2022-09-16,11233
2022-09-17,2821
2022-09-18,7558
2022-09-19,10373
2022-09-20,11345
2022-09-21,10617
2022-09-22,10760
2022-09-23,10949
2022-09-24,8594
2022-09-25,8289
2022-09-26,11073
2022-09-27,10685
2022-09-28,10379
2022-09-29,12097
2022-09-30,1489
2022-10-01,54
2022-10-02,59
2022-10-03,84
2022-10-04,77
2022-10-05,65
2022-10-06,57
2022-10-07,79
2022-10-08,62
2022-10-09,55
2022-10-10,82
2022-10-11,2654
2022-10-12,10389
2022-10-13,9714
2022-10-14,10285
2022-10-15,8222
2022-10-16,7044
2022-10-17,9299
2022-10-18,10259
2022-10-19,10115
2022-10-20,10120
2022-10-21,9838
2022-10-22,7054
2022-10-23,583
2022-10-24,85
2022-10-25,2403
2022-10-26,9668
2022-10-27,10498
2022-10-28,9588
2022-10-29,7660
2022-10-30,6820
2022-10-31,9373
2022-11-01,9899
2022-11-02,960
2022-11-03,2149
2022-11-04,8945
2022-11-05,2389
2022-11-06,6486
2022-11-07,9795
2022-11-08,9607
2022-11-09,10152
2022-11-10,10568
2022-11-11,10047
2022-11-12,7394
2022-11-13,6866
2022-11-14,9107
2022-11-15,8776
2022-11-16,8883
2022-11-17,9779
2022-11-18,9210
2022-11-19,5935
2022-11-20,5868
2022-11-21,9427
2022-11-22,9329
2022-11-23,9627
2022-11-24,9499
2022-11-25,3436
2022-11-26,7393
2022-11-27,6645
2022-11-28,8380
2022-11-29,9753
2022-11-30,9575
2022-12-01,10071
2022-12-02,8302
2022-12-03,7078
2022-12-04,6729
2022-12-05,9334
2022-12-06,8785
2022-12-07,9517
2022-12-08,8999
2022-12-09,9562
2022-12-10,7236
2022-12-11,6584
2022-12-12,9105
2022-12-13,8369
2022-12-14,9242
2022-12-15,9629
2022-12-16,10071
2022-12-17,7550
2022-12-18,6084
2022-12-19,9389
2022-12-20,9533
2022-12-21,10314
2022-12-22,10224
2022-12-23,4635
2022-12-24,7648
2022-12-25,6751
2022-12-26,8990
2022-12-27,8641
2022-12-28,9252
2022-12-29,9987
2022-12-30,10201
2022-12-31,7463
2023-01-01,6608
2023-01-02,6932
2023-01-03,9362
2023-01-04,8882
2023-01-05,8877
2023-01-06,9253
2023-01-07,7654
2023-01-08,6870
2023-01-09,9472
2023-01-10,9913
2023-01-11,8930
2023-01-12,8894
2023-01-13,10005
2023-01-14,7485
2023-01-15,2982
2023-01-16,9473
2023-01-17,8851
2023-01-18,9273
2023-01-19,9787
2023-01-20,9010
2023-01-21,7086
2023-01-22,6873
2023-01-23,10441
2023-01-24,1433
2023-01-25,901
2023-01-26,3569
2023-01-27,9048
2023-01-28,8805
2023-01-29,10807
2023-01-30,12812
2023-01-31,13561
2023-02-01,13119
2023-02-02,12951
2023-02-03,12663
2023-02-04,11707
2023-02-05,10222
2023-02-06,12775
2023-02-07,12419
2023-02-08,11813
2023-02-09,8198
2023-02-10,4939
2023-02-11,4137
2023-02-12,3592
2023-02-13,4287
2023-02-14,3384
2023-02-15,3700
2023-02-16,1628
2023-02-17,16
