dates,freq
2022-08-01,17
2022-08-02,8
2022-08-03,2942
2022-08-04,9292
2022-08-05,8727
2022-08-06,4292
2022-08-07,4121
2022-08-08,10259
2022-08-09,10367
2022-08-10,12122
2022-08-11,10673
2022-08-12,9381
2022-08-13,4243
2022-08-14,4229
2022-08-15,8906
2022-08-16,10114
2022-08-17,9393
2022-08-18,9774
2022-08-19,8931
2022-08-20,4808
2022-08-21,3779
2022-08-22,8846
2022-08-23,9033
2022-08-24,9595
2022-08-25,4182
2022-08-26,7476
2022-08-27,3239
2022-08-28,3284
2022-08-29,8785
2022-08-30,9234
2022-08-31,9538
2022-09-01,10361
2022-09-02,8451
2022-09-03,4798
2022-09-04,4182
2022-09-05,9320
2022-09-06,7937
2022-09-07,8613
2022-09-08,8443
2022-09-09,6973
2022-09-10,2990
2022-09-11,3043
2022-09-12,4336
2022-09-13,10137
2022-09-14,10103
2022-09-15,9002
2022-09-16,9211
2022-09-17,1076
2022-09-18,4203
2022-09-19,8845
2022-09-20,8640
2022-09-21,8639
2022-09-22,7883
2022-09-23,7120
2022-09-24,3519
2022-09-25,3528
2022-09-26,7740
2022-09-27,8347
2022-09-28,8356
2022-09-29,8119
2022-09-30,1384
2022-10-01,37
2022-10-02,24
2022-10-03,34
2022-10-04,12
2022-10-05,8
2022-10-06,12
2022-10-07,42
2022-10-08,30
2022-10-09,23
2022-10-10,17
2022-10-11,2830
2022-10-12,8218
2022-10-13,8886
2022-10-14,9241
2022-10-15,6644
2022-10-16,4114
2022-10-17,7194
2022-10-18,7686
2022-10-19,8140
2022-10-20,9603
2022-10-21,11470
2022-10-22,6361
2022-10-23,678
2022-10-24,46
2022-10-25,2243
2022-10-26,9199
2022-10-27,9046
2022-10-28,11055
2022-10-29,9882
2022-10-30,8513
2022-10-31,10390
2022-11-01,10762
2022-11-02,1266
2022-11-03,3015
2022-11-04,8947
2022-11-05,1461
2022-11-06,3662
2022-11-07,7922
2022-11-08,6492
2022-11-09,7291
2022-11-10,8139
2022-11-11,8904
2022-11-12,5762
2022-11-13,4956
2022-11-14,8668
2022-11-15,9828
2022-11-16,9842
2022-11-17,8368
2022-11-18,8694
2022-11-19,3686
2022-11-20,3940
2022-11-21,8818
2022-11-22,9626
2022-11-23,8411
2022-11-24,7110
2022-11-25,2693
2022-11-26,2256
2022-11-27,2417
2022-11-28,5403
2022-11-29,5744
2022-11-30,7656
2022-12-01,7133
2022-12-02,7210
2022-12-03,3386
2022-12-04,3896
2022-12-05,9883
2022-12-06,9604
2022-12-07,9132
2022-12-08,10082
2022-12-09,8820
2022-12-10,4135
2022-12-11,4641
2022-12-12,8448
2022-12-13,7091
2022-12-14,8931
2022-12-15,9034
2022-12-16,6923
2022-12-17,3451
2022-12-18,3061
2022-12-19,7878
2022-12-20,9276
2022-12-21,7718
2022-12-22,8746
2022-12-23,3832
2022-12-24,4067
2022-12-25,3871
2022-12-26,8218
2022-12-27,7284
2022-12-28,8332
2022-12-29,7947
2022-12-30,10682
2022-12-31,5493
2023-01-01,2862
2023-01-02,4692
2023-01-03,10832
2023-01-04,11415
2023-01-05,10693
2023-01-06,8681
2023-01-07,3499
2023-01-08,3798
2023-01-09,8727
2023-01-10,8770
2023-01-11,9284
2023-01-12,8067
2023-01-13,8076
2023-01-14,4571
2023-01-15,1964
2023-01-16,8052
2023-01-17,7949
2023-01-18,6912
2023-01-19,7415
2023-01-20,6098
2023-01-21,2655
2023-01-22,2010
2023-01-23,2421
2023-01-24,590
2023-01-25,225
2023-01-26,1067
2023-01-27,3702
2023-01-28,3437
2023-01-29,5961
2023-01-30,10589
2023-01-31,12125
2023-02-01,13600
2023-02-02,20239
2023-02-03,15982
2023-02-04,9253
2023-02-05,5578
2023-02-06,10453
2023-02-07,13282
2023-02-08,13069
2023-02-09,7779
2023-02-10,3440
2023-02-11,1621
2023-02-12,1710
2023-02-13,3425
2023-02-14,3499
2023-02-15,3299
2023-02-16,2226
2023-02-17,72
