dates,freq
2022-08-01,52
2022-08-02,38
2022-08-03,3639
2022-08-04,11797
2022-08-05,11691
2022-08-06,7769
2022-08-07,7334
2022-08-08,11221
2022-08-09,12014
2022-08-10,13126
2022-08-11,12272
2022-08-12,14056
2022-08-13,9979
2022-08-14,9186
2022-08-15,12292
2022-08-16,12558
2022-08-17,13052
2022-08-18,13410
2022-08-19,16479
2022-08-20,8714
2022-08-21,8363
2022-08-22,11473
2022-08-23,12370
2022-08-24,11916
2022-08-25,4474
2022-08-26,15044
2022-08-27,7691
2022-08-28,7490
2022-08-29,11091
2022-08-30,11601
2022-08-31,12679
2022-09-01,12511
2022-09-02,14835
2022-09-03,8330
2022-09-04,7826
2022-09-05,11223
2022-09-06,11286
2022-09-07,11168
2022-09-08,11701
2022-09-09,11248
2022-09-10,10426
2022-09-11,7224
2022-09-12,8672
2022-09-13,10730
2022-09-14,12468
2022-09-15,11608
2022-09-16,15561
2022-09-17,3024
2022-09-18,7136
2022-09-19,9428
2022-09-20,11018
2022-09-21,12475
2022-09-22,12027
2022-09-23,19126
2022-09-24,7770
2022-09-25,7895
2022-09-26,11071
2022-09-27,11460
2022-09-28,10738
2022-09-29,10603
2022-09-30,6099
2022-10-01,93
2022-10-02,53
2022-10-03,62
2022-10-04,68
2022-10-05,75
2022-10-06,78
2022-10-07,81
2022-10-08,62
2022-10-09,80
2022-10-10,42
2022-10-11,2868
2022-10-12,9607
2022-10-13,9602
2022-10-14,9555
2022-10-15,9849
2022-10-16,6247
2022-10-17,8727
2022-10-18,9840
2022-10-19,9424
2022-10-20,10516
2022-10-21,13944
2022-10-22,7107
2022-10-23,604
2022-10-24,79
2022-10-25,3786
2022-10-26,9603
2022-10-27,9857
2022-10-28,15373
2022-10-29,7341
2022-10-30,6459
2022-10-31,9554
2022-11-01,10262
2022-11-02,937
2022-11-03,3362
2022-11-04,13116
2022-11-05,2964
2022-11-06,6552
2022-11-07,9580
2022-11-08,9629
2022-11-09,9848
2022-11-10,9415
2022-11-11,16184
2022-11-12,7456
2022-11-13,7020
2022-11-14,10219
2022-11-15,10180
2022-11-16,10302
2022-11-17,9845
2022-11-18,10443
2022-11-19,7014
2022-11-20,6516
2022-11-21,9835
2022-11-22,9509
2022-11-23,16780
2022-11-24,8477
2022-11-25,3216
2022-11-26,5844
2022-11-27,6284
2022-11-28,9896
2022-11-29,10313
2022-11-30,9741
2022-12-01,9011
2022-12-02,8050
2022-12-03,5749
2022-12-04,5792
2022-12-05,7719
2022-12-06,9442
2022-12-07,9340
2022-12-08,10216
2022-12-09,10388
2022-12-10,7878
2022-12-11,6991
2022-12-12,8959
2022-12-13,9105
2022-12-14,9222
2022-12-15,9378
2022-12-16,9481
2022-12-17,7270
2022-12-18,6320
2022-12-19,9302
2022-12-20,10890
2022-12-21,10788
2022-12-22,11156
2022-12-23,5115
2022-12-24,8253
2022-12-25,7871
2022-12-26,10127
2022-12-27,10439
2022-12-28,10399
2022-12-29,10375
2022-12-30,11792
2022-12-31,8253
2023-01-01,7828
2023-01-02,8213
2023-01-03,9865
2023-01-04,11405
2023-01-05,10343
2023-01-06,17909
2023-01-07,8192
2023-01-08,7388
2023-01-09,9151
2023-01-10,9962
2023-01-11,9770
2023-01-12,10558
2023-01-13,10772
2023-01-14,7238
2023-01-15,2757
2023-01-16,8919
2023-01-17,8913
2023-01-18,8587
2023-01-19,8182
2023-01-20,15408
2023-01-21,5404
2023-01-22,5366
2023-01-23,7901
2023-01-24,1148
2023-01-25,1059
2023-01-26,3373
2023-01-27,7898
2023-01-28,8148
2023-01-29,11933
2023-01-30,14006
2023-01-31,15024
2023-02-01,16877
2023-02-02,16213
2023-02-03,15423
2023-02-04,14097
2023-02-05,12286
2023-02-06,14077
2023-02-07,16532
2023-02-08,15182
2023-02-09,9267
2023-02-10,2391
2023-02-11,3258
2023-02-12,2041
2023-02-13,1702
2023-02-14,1943
2023-02-15,1738
2023-02-16,967
2023-02-17,61
