dates,freq
2022-08-01,17
2022-08-02,18
2022-08-03,1154
2022-08-04,4633
2022-08-05,4353
2022-08-06,1752
2022-08-07,1735
2022-08-08,3664
2022-08-09,3878
2022-08-10,4472
2022-08-11,4833
2022-08-12,4208
2022-08-13,2116
2022-08-14,1652
2022-08-15,4103
2022-08-16,3918
2022-08-17,3639
2022-08-18,4461
2022-08-19,3853
2022-08-20,2042
2022-08-21,1978
2022-08-22,3555
2022-08-23,4031
2022-08-24,4452
2022-08-25,2239
2022-08-26,6076
2022-08-27,3295
2022-08-28,2736
2022-08-29,5454
2022-08-30,5136
2022-08-31,6025
2022-09-01,5929
2022-09-02,4202
2022-09-03,2720
2022-09-04,2531
2022-09-05,4100
2022-09-06,4047
2022-09-07,3843
2022-09-08,4008
2022-09-09,2821
2022-09-10,1613
2022-09-11,1612
2022-09-12,2259
2022-09-13,4021
2022-09-14,4195
2022-09-15,3792
2022-09-16,4106
2022-09-17,813
2022-09-18,1639
2022-09-19,3334
2022-09-20,4048
2022-09-21,3686
2022-09-22,5989
2022-09-23,6103
2022-09-24,3260
2022-09-25,2018
2022-09-26,4447
2022-09-27,6066
2022-09-28,6683
2022-09-29,5028
2022-09-30,818
2022-10-01,23
2022-10-02,5
2022-10-03,14
2022-10-04,17
2022-10-05,24
2022-10-06,28
2022-10-07,22
2022-10-08,12
2022-10-09,35
2022-10-10,46
2022-10-11,1800
2022-10-12,4246
2022-10-13,5297
2022-10-14,3983
2022-10-15,1669
2022-10-16,1810
2022-10-17,4169
2022-10-18,5610
2022-10-19,4286
2022-10-20,4586
2022-10-21,3976
2022-10-22,1755
2022-10-23,329
2022-10-24,19
2022-10-25,1162
2022-10-26,4198
2022-10-27,3783
2022-10-28,3882
2022-10-29,3238
2022-10-30,2382
2022-10-31,4392
2022-11-01,5960
2022-11-02,810
2022-11-03,1127
2022-11-04,5532
2022-11-05,976
2022-11-06,2398
2022-11-07,4480
2022-11-08,5044
2022-11-09,6362
2022-11-10,5360
2022-11-11,4510
2022-11-12,2368
2022-11-13,3066
2022-11-14,5257
2022-11-15,4734
2022-11-16,4159
2022-11-17,2951
2022-11-18,3666
2022-11-19,2570
2022-11-20,2206
2022-11-21,4679
2022-11-22,4436
2022-11-23,2927
2022-11-24,3204
2022-11-25,1432
2022-11-26,1414
2022-11-27,1311
2022-11-28,3098
2022-11-29,3170
2022-11-30,3428
2022-12-01,2871
2022-12-02,3779
2022-12-03,1621
2022-12-04,1312
2022-12-05,2879
2022-12-06,3829
2022-12-07,5135
2022-12-08,5076
2022-12-09,4048
2022-12-10,2388
2022-12-11,2033
2022-12-12,3926
2022-12-13,4244
2022-12-14,4079
2022-12-15,4116
2022-12-16,3678
2022-12-17,1843
2022-12-18,2221
2022-12-19,4262
2022-12-20,4369
2022-12-21,4556
2022-12-22,4414
2022-12-23,2004
2022-12-24,2335
2022-12-25,1849
2022-12-26,3925
2022-12-27,5457
2022-12-28,6331
2022-12-29,7811
2022-12-30,5766
2022-12-31,2817
2023-01-01,4061
2023-01-02,4350
2023-01-03,5465
2023-01-04,5623
2023-01-05,5195
2023-01-06,5518
2023-01-07,4761
2023-01-08,3646
2023-01-09,5434
2023-01-10,4844
2023-01-11,7060
2023-01-12,8734
2023-01-13,6317
2023-01-14,3148
2023-01-15,1852
2023-01-16,6662
2023-01-17,6706
2023-01-18,4848
2023-01-19,4258
2023-01-20,3840
2023-01-21,1965
2023-01-22,1528
2023-01-23,2406
2023-01-24,511
2023-01-25,493
2023-01-26,914
2023-01-27,2408
2023-01-28,2700
2023-01-29,2729
2023-01-30,4658
2023-01-31,7029
2023-02-01,6470
2023-02-02,6357
2023-02-03,6147
2023-02-04,4433
2023-02-05,3086
2023-02-06,5205
2023-02-07,7600
2023-02-08,6934
2023-02-09,4163
2023-02-10,593
2023-02-11,525
2023-02-12,349
2023-02-13,544
2023-02-14,739
2023-02-15,844
2023-02-16,614
