dates,freq
2022-08-01,33
2022-08-02,33
2022-08-03,1160
2022-08-04,5658
2022-08-05,4917
2022-08-06,3125
2022-08-07,3379
2022-08-08,5055
2022-08-09,5166
2022-08-10,5448
2022-08-11,5824
2022-08-12,6517
2022-08-13,4225
2022-08-14,3368
2022-08-15,5426
2022-08-16,6355
2022-08-17,6450
2022-08-18,6482
2022-08-19,5078
2022-08-20,3710
2022-08-21,4215
2022-08-22,5894
2022-08-23,5812
2022-08-24,5420
2022-08-25,2178
2022-08-26,6028
2022-08-27,4357
2022-08-28,4122
2022-08-29,5817
2022-08-30,6037
2022-08-31,5514
2022-09-01,6024
2022-09-02,6285
2022-09-03,3952
2022-09-04,3853
2022-09-05,9453
2022-09-06,10227
2022-09-07,8182
2022-09-08,7871
2022-09-09,34035
2022-09-10,12986
2022-09-11,8526
2022-09-12,9755
2022-09-13,11461
2022-09-14,9781
2022-09-15,8212
2022-09-16,9340
2022-09-17,2419
2022-09-18,7311
2022-09-19,13062
2022-09-20,10725
2022-09-21,7574
2022-09-22,7125
2022-09-23,6751
2022-09-24,6580
2022-09-25,4342
2022-09-26,9504
2022-09-27,9495
2022-09-28,8543
2022-09-29,9836
2022-09-30,1397
2022-10-01,162
2022-10-02,69
2022-10-03,105
2022-10-04,78
2022-10-05,49
2022-10-06,48
2022-10-07,67
2022-10-08,25
2022-10-09,19
2022-10-10,34
2022-10-11,1776
2022-10-12,9374
2022-10-13,7400
2022-10-14,8252
2022-10-15,5790
2022-10-16,4869
2022-10-17,10699
2022-10-18,11715
2022-10-19,11191
2022-10-20,11492
2022-10-21,12269
2022-10-22,6529
2022-10-23,948
2022-10-24,43
2022-10-25,3208
2022-10-26,8764
2022-10-27,7337
2022-10-28,6590
2022-10-29,4823
2022-10-30,4647
2022-10-31,5449
2022-11-01,5587
2022-11-02,901
2022-11-03,2155
2022-11-04,7013
2022-11-05,1178
2022-11-06,3680
2022-11-07,5729
2022-11-08,6321
2022-11-09,6267
2022-11-10,6595
2022-11-11,4595
2022-11-12,3768
2022-11-13,3512
2022-11-14,4928
2022-11-15,5158
2022-11-16,6116
2022-11-17,7501
2022-11-18,6056
2022-11-19,3676
2022-11-20,3607
2022-11-21,5726
2022-11-22,5700
2022-11-23,6394
2022-11-24,7268
2022-11-25,2952
2022-11-26,5103
2022-11-27,3778
2022-11-28,7358
2022-11-29,7452
2022-11-30,7512
2022-12-01,6348
2022-12-02,7029
2022-12-03,4520
2022-12-04,3251
2022-12-05,5831
2022-12-06,5509
2022-12-07,5426
2022-12-08,6075
2022-12-09,5865
2022-12-10,3947
2022-12-11,3811
2022-12-12,5591
2022-12-13,6170
2022-12-14,6467
2022-12-15,7941
2022-12-16,6494
2022-12-17,3969
2022-12-18,3477
2022-12-19,4992
2022-12-20,5332
2022-12-21,5117
2022-12-22,5197
2022-12-23,2113
2022-12-24,3406
2022-12-25,2803
2022-12-26,5590
2022-12-27,4521
2022-12-28,4254
2022-12-29,5120
2022-12-30,6161
2022-12-31,4075
2023-01-01,2941
2023-01-02,3534
2023-01-03,5350
2023-01-04,5309
2023-01-05,5731
2023-01-06,4711
2023-01-07,3306
2023-01-08,3564
2023-01-09,6207
2023-01-10,6524
2023-01-11,6967
2023-01-12,7824
2023-01-13,6860
2023-01-14,4776
2023-01-15,1577
2023-01-16,5058
2023-01-17,5827
2023-01-18,5113
2023-01-19,4868
2023-01-20,4210
2023-01-21,2780
2023-01-22,2410
2023-01-23,2622
2023-01-24,573
2023-01-25,289
2023-01-26,1461
2023-01-27,4503
2023-01-28,4216
2023-01-29,4341
2023-01-30,6533
2023-01-31,7840
2023-02-01,8632
2023-02-02,9002
2023-02-03,7546
2023-02-04,5183
2023-02-05,4478
2023-02-06,5267
2023-02-07,6049
2023-02-08,6142
2023-02-09,5915
2023-02-10,2278
2023-02-11,1941
2023-02-12,1486
2023-02-13,2056
2023-02-14,2044
2023-02-15,1783
2023-02-16,1489
2023-02-17,18
