dates,freq
2022-08-01,50
2022-08-02,23
2022-08-03,5889
2022-08-04,14853
2022-08-05,7801
2022-08-06,3743
2022-08-07,3054
2022-08-08,4116
2022-08-09,3693
2022-08-10,3007
2022-08-11,2671
2022-08-12,2012
2022-08-13,1189
2022-08-14,1556
2022-08-15,3930
2022-08-16,3352
2022-08-17,1756
2022-08-18,1455
2022-08-19,1488
2022-08-20,924
2022-08-21,1142
2022-08-22,1330
2022-08-23,1063
2022-08-24,843
2022-08-25,523
2022-08-26,2084
2022-08-27,793
2022-08-28,595
2022-08-29,615
2022-08-30,906
2022-08-31,907
2022-09-01,770
2022-09-02,757
2022-09-03,450
2022-09-04,362
2022-09-05,329
2022-09-06,664
2022-09-07,811
2022-09-08,855
2022-09-09,300
2022-09-10,189
2022-09-11,136
2022-09-12,225
2022-09-13,339
2022-09-14,609
2022-09-15,488
2022-09-16,292
2022-09-17,127
2022-09-18,139
2022-09-19,224
2022-09-20,314
2022-09-21,315
2022-09-22,353
2022-09-23,256
2022-09-24,219
2022-09-25,101
2022-09-26,429
2022-09-27,1081
2022-09-28,455
2022-09-29,343
2022-09-30,45
2022-10-01,3
2022-10-03,15
2022-10-04,2
2022-10-08,2
2022-10-09,8
2022-10-11,165
2022-10-12,321
2022-10-13,384
2022-10-14,325
2022-10-15,197
2022-10-16,158
2022-10-17,112
2022-10-18,135
2022-10-19,172
2022-10-20,379
2022-10-21,348
2022-10-22,87
2022-10-23,18
2022-10-24,4
2022-10-25,163
2022-10-26,353
2022-10-27,178
2022-10-28,302
2022-10-29,156
2022-10-30,134
2022-10-31,209
2022-11-01,276
2022-11-02,41
2022-11-03,128
2022-11-04,121
2022-11-05,27
2022-11-06,146
2022-11-07,422
2022-11-08,238
2022-11-09,359
2022-11-10,345
2022-11-11,183
2022-11-12,91
2022-11-13,122
2022-11-14,305
2022-11-15,338
2022-11-16,269
2022-11-17,212
2022-11-18,286
2022-11-19,114
2022-11-20,152
2022-11-21,283
2022-11-22,196
2022-11-23,172
2022-11-24,330
2022-11-25,145
2022-11-26,111
2022-11-27,267
2022-11-28,251
2022-11-29,251
2022-11-30,340
2022-12-01,581
2022-12-02,443
2022-12-03,502
2022-12-04,488
2022-12-05,458
2022-12-06,486
2022-12-07,576
2022-12-08,267
2022-12-09,265
2022-12-10,263
2022-12-11,172
2022-12-12,275
2022-12-13,642
2022-12-14,186
2022-12-15,309
2022-12-16,191
2022-12-17,74
2022-12-18,96
2022-12-19,182
2022-12-20,210
2022-12-21,258
2022-12-22,209
2022-12-23,156
2022-12-24,38
2022-12-25,69
2022-12-26,118
2022-12-27,160
2022-12-28,153
2022-12-29,385
2022-12-30,214
2022-12-31,229
2023-01-01,150
2023-01-02,194
2023-01-03,592
2023-01-04,348
2023-01-05,612
2023-01-06,844
2023-01-07,380
2023-01-08,454
2023-01-09,592
2023-01-10,548
2023-01-11,306
2023-01-12,297
2023-01-13,429
2023-01-14,301
2023-01-15,161
2023-01-16,446
2023-01-17,246
2023-01-18,230
2023-01-19,110
2023-01-20,153
2023-01-21,170
2023-01-22,183
2023-01-23,221
2023-01-24,152
2023-01-25,9
2023-01-26,79
2023-01-27,479
2023-01-28,504
2023-01-29,343
2023-01-30,702
2023-01-31,860
2023-02-01,859
2023-02-02,2083
2023-02-03,2015
2023-02-04,1672
2023-02-05,881
2023-02-06,679
2023-02-07,509
2023-02-08,559
2023-02-09,242
2023-02-10,42
2023-02-11,39
2023-02-12,35
2023-02-13,113
2023-02-14,71
2023-02-15,74
2023-02-16,74
