dates,freq
2022-08-01,10
2022-08-02,10
2022-08-03,2133
2022-08-04,6649
2022-08-05,7308
2022-08-06,4188
2022-08-07,4573
2022-08-08,7748
2022-08-09,8245
2022-08-10,8726
2022-08-11,9330
2022-08-12,10482
2022-08-13,7845
2022-08-14,7080
2022-08-15,9431
2022-08-16,10421
2022-08-17,12126
2022-08-18,10648
2022-08-19,11515
2022-08-20,7687
2022-08-21,8406
2022-08-22,12437
2022-08-23,16186
2022-08-24,9739
2022-08-25,3722
2022-08-26,9355
2022-08-27,6781
2022-08-28,6358
2022-08-29,9909
2022-08-30,10735
2022-08-31,8953
2022-09-01,8218
2022-09-02,8021
2022-09-03,6614
2022-09-04,6863
2022-09-05,11129
2022-09-06,12674
2022-09-07,9811
2022-09-08,11698
2022-09-09,7365
2022-09-10,6097
2022-09-11,6138
2022-09-12,7567
2022-09-13,8824
2022-09-14,8832
2022-09-15,8902
2022-09-16,8907
2022-09-17,2512
2022-09-18,5755
2022-09-19,7996
2022-09-20,9016
2022-09-21,10282
2022-09-22,12670
2022-09-23,9153
2022-09-24,6433
2022-09-25,5456
2022-09-26,8492
2022-09-27,9253
2022-09-28,8282
2022-09-29,8933
2022-09-30,1052
2022-10-01,4
2022-10-02,5
2022-10-03,5
2022-10-04,3
2022-10-05,1
2022-10-06,2
2022-10-07,16
2022-10-08,24
2022-10-09,4
2022-10-10,9
2022-10-11,2054
2022-10-12,8254
2022-10-13,8366
2022-10-14,8352
2022-10-15,5505
2022-10-16,4423
2022-10-17,6572
2022-10-18,6997
2022-10-19,7437
2022-10-20,8107
2022-10-21,6482
2022-10-22,5070
2022-10-23,505
2022-10-24,3
2022-10-25,2312
2022-10-26,7695
2022-10-27,7000
2022-10-28,6564
2022-10-29,5282
2022-10-30,6309
2022-10-31,8607
2022-11-01,8908
2022-11-02,1437
2022-11-03,2829
2022-11-04,9772
2022-11-05,2894
2022-11-06,7138
2022-11-07,7658
2022-11-08,9797
2022-11-09,8961
2022-11-10,9050
2022-11-11,11021
2022-11-12,7409
2022-11-13,5276
2022-11-14,9288
2022-11-15,10936
2022-11-16,8955
2022-11-17,8605
2022-11-18,8051
2022-11-19,5352
2022-11-20,5494
2022-11-21,7589
2022-11-22,7965
2022-11-23,8703
2022-11-24,7991
2022-11-25,3123
2022-11-26,5275
2022-11-27,4195
2022-11-28,8980
2022-11-29,9061
2022-11-30,8890
2022-12-01,7322
2022-12-02,7226
2022-12-03,5464
2022-12-04,4537
2022-12-05,7432
2022-12-06,8318
2022-12-07,9686
2022-12-08,9901
2022-12-09,9321
2022-12-10,6418
2022-12-11,6437
2022-12-12,9141
2022-12-13,8284
2022-12-14,8157
2022-12-15,8212
2022-12-16,8455
2022-12-17,6484
2022-12-18,5507
2022-12-19,8471
2022-12-20,7984
2022-12-21,9363
2022-12-22,8730
2022-12-23,4081
2022-12-24,6684
2022-12-25,6131
2022-12-26,6949
2022-12-27,7333
2022-12-28,7449
2022-12-29,9036
2022-12-30,9301
2022-12-31,7800
2023-01-01,6012
2023-01-02,8257
2023-01-03,11205
2023-01-04,11219
2023-01-05,10120
2023-01-06,10407
2023-01-07,9947
2023-01-08,8234
2023-01-09,10056
2023-01-10,9047
2023-01-11,9467
2023-01-12,11454
2023-01-13,9931
2023-01-14,7218
2023-01-15,2909
2023-01-16,9106
2023-01-17,11038
2023-01-18,9936
2023-01-19,8099
2023-01-20,7038
2023-01-21,5182
2023-01-22,4128
2023-01-23,11415
2023-01-24,918
2023-01-25,141
2023-01-26,1725
2023-01-27,6633
2023-01-28,6816
2023-01-29,9038
2023-01-30,11498
2023-01-31,12002
2023-02-01,11217
2023-02-02,12484
2023-02-03,12357
2023-02-04,9634
2023-02-05,7352
2023-02-06,7422
2023-02-07,9610
2023-02-08,10063
2023-02-09,5393
2023-02-10,762
2023-02-11,873
2023-02-12,576
2023-02-13,757
2023-02-14,684
2023-02-15,944
2023-02-16,662
2023-02-17,14
